ache/ake – ached/oke – ached/aken,""
"cast – cast – cast

broadcast – broadcast – broadcast
downcast – downcast – downcast
forecast – forecast – forecast
miscast – miscast – miscast
overcast – overcast – overcast
podcast – podcast – podcast
precast – precast – precast
recast – recast – recast
simulcast – simulcast – simulcast
telecast – telecast – telecast
typecast – typecast – typecast
undercast – undercast – undercast
upcast – upcast – upcast
webcast – webcast – webcast

",Weak with coalescence of dentals. Many of the prefixed forms can also take -ed.
catch – caught – caught,"Weak, French loanword conjugated perhaps by analogy with teach–taught"
chide – chided/chid/*chode – chided/chid/chidden,"Strong, class 1"
"choose – chose – chosen

mischoose – mischose – mischosen

","Strong, class 2"
clad – clad – clad,"Developed from clad, the past form of clothe (see below)."
clap – clapped/*clapt – clapped/*clapt,""
cleave [meaning to split] – cleft/clove/cleaved/*clave – cleft/cloven/cleaved,"Strong, class 2, sometimes switching to weak with vowel shortening. When meaning ""adhere"" the verb is regular."
*clepe – cleped/clepen/*clept – cleped/*clept/*clepen/*yclept,"Weak with vowel shortening, or regular. Obsolete or dialectal."
cling – clung – clung,"Strong, class 3"
"clothe – clad/clothed – clad/clothed

overclothe – overclad/overclothed – overclad/overclothed
unclothe – unclad/unclothed – unclad/unclothed
underclothe – underclad/underclothed – underclad/underclothed

","Weak; the regular clothed is from OE claþian, while clad (weak with coalescence of dentals) is from OE clæþan (both OE verbs having similar meaning).[1]"
"come – came – come/comen

overcome – overcame – overcome/overcomen
see also under become

","Strong, class 4"
cost [intransitive sense] – cost/costed – cost/costed,"Weak with coalescence of dentals. Regular when meaning ""calculate the cost of""."
creep – crept/creeped/*crope – crept/creeped/*cropen,"Originally strong, class 2; switched to weak with vowel shortening (or regular)"
crow – crowed/crew – crowed/*crown,"Strong, class 7. Now usually regular, but crew can still be used of a cock's crowing."
"cut – cut – cut

clearcut – clearcut – clearcut
crosscut – crosscut – crosscut
*forcut – *forcut – *forcut
intercut – intercut – intercut
recut – recut – recut
undercut – undercut – undercut

",Weak with coalescence of dentals
dare (dares/dare) – dared/*durst – dared,"Preterite-present, now regular except in the use of dare in place of dares in some contexts. See English modal verbs"
"deal – dealt – dealt

misdeal – misdealt – misdealt
redeal – redealt – redealt

",Weak with vowel shortening and devoiced ending
"dig – dug/*digged – dug/*digged

underdig – underdug – underdug

",Originally weak; past form dug developed by analogy with stick–stuck[2]
dive – dived/dove – dived/dove,"Weak, the alternative dove (found mainly in American usage) arising by analogy with strong verbs"
"do (does /dʌz/) – did – done

*fordo – *fordid – *fordone
misdo – misdid – misdone
outdo – outdid – outdone
overdo – overdid – overdone
redo redid – redone
undo – undid – undone
underdo – underdid – underdone

",Irregular since Proto-Germanic: past tense formed by reduplication. Past participle from Old English gedon
dow – dowed/dought – dowed/dought,""
drag – dragged/*drug – dragged/*drug,"Strong, class 6, now usually regular; drug is used in some dialects"
"draw – drew – drawn

outdraw – outdrew – outdrawn
overdraw – overdrew – overdrawn
redraw – redrew – redrawn
underdraw – underdrew – underdrawn
withdraw – withdrew – withdrawn

","Strong, class 6"
dream – dreamed/dreamt/*drempt – dreamed/dreamt/*drempt,Weak with vowel shortening and devoiced ending (or regular)
dress – dressed/*drest – dressed/*drest,Weak with alternative (archaic) spelling
"drink – drank/*drunk/*drinked – drunk/*drank/*drinked/*drunken

outdrink – outdrank/*outdrunk/*outdrinked – outdrunk/*outdrank/*outdrinked/*outdrunken
overdrink – overdrank/*overdrunk/*overdrinked – overdrunk/*overdrank/*overdrinked/*overdrunken

","Strong, class 3"
"drive – drove/*drave – driven

overdrive – overdrove/*overdrave – overdriven
test-drive – test-drove/*test-drave – test-driven

","Strong, class 1"
"dwell – dwelt/dwelled – dwelt/dwelled

bedwell – bedwelt/bedwelled – bedwelt/bedwelled
outdwell – outdwelt/outdwelled – outdwelt/outdwelled

",Weak with devoiced ending (or regular)
earn – earned/earnt – earned/earnt,Weak with devoiced ending (or regular)
"eat – ate/*et – eaten

forfret – forfretted – forfretted/forfretten
fret – fretted/frate – fretted/fretten
outeat – outate – outeaten
overeat – overate/*overet – overeaten
undereat – underate/*underet – undereaten

","Strong, class 5. Past tense usually /eɪt/, sometimes /ɛt/ in British English."
"fall – fell/*felled – fallen/*felled

befall – befell/*befelled – befallen/*befelled
*misbefall – misbefell/*misbefelled – misbefallen/*misbefelled
*misfall – misfell/*misfelled – misfallen/*misfelled
outfall – outfell – outfallen

","Strong, class 7"
"feed – fed – fed

bottle-feed – bottle-fed – bottle-fed
breastfeed – breastfed – breastfed
force-feed – force-fed – force-fed
hand-feed – hand-fed – hand-fed
misfeed – misfed – misfed
overfeed – overfed – overfed
self-feed – self-fed – self-fed
spoon-feed – spoon-fed – spoon-fed
underfeed – underfed – underfed

",Weak with vowel shortening and coalescence of dentals
"feel – felt – felt

forefeel – forefelt – forefelt

",Weak with vowel shortening and devoiced ending
"fight – fought – fought/*foughten

befight – befought – befought
outfight – outfought – outfought

","Strong, class 3"
"find – found/*fand – found/*founden

refind – refound/*refand – refound/*refounden

","Strong, class 3"
"fit – fitted/fit – fitted/fit

misfit – misfitted/misfit – misfitted/misfit

",Weak with coalescence of dentals
flee – fled – fled,"Originally strong, class 2, switched to weak with vowel shortening"
fling – flung – flung,"By analogy with strong, class 3"
"fly – flew – flown

outfly – outflew – outflown
overfly – overflew – overflown
test-fly – test-flew – test-flown

","Strong, class 2. Regular when used for hitting a fly ball in baseball."
forbid – forbid/forbade/forbad – forbidden,"Strong, class 5"
forget – forgot/*forgat – forgotten/*forgot,"Strong, class 5"
*forlese – forlore – forlorn,Past participle remains in use adjectivally.
forsake – forsook – forsaken,"Strong, class 6"
"freeze – froze – frozen

quick-freeze – quick-froze – quick-frozen
refreeze – refroze – refrozen
unfreeze – unfroze – unfrozen

","Strong, class 2"
"get – got/*gat – got/gotten

*beget – begot/*begat – begot/begotten
forget – forgot/*forgat – forgot/forgotten
*misget – misgot/*misgat – misgot/misgotten
*overget – overgot/*overgat – overgot/overgotten
*underget – undergot/*undergat – undergot/undergotten

","Strong, class 5. Past participle is got in British usage (except in fossilized phrases such as ""ill-gotten""), and gotten in American (but see have got)."
gild – gilded/gilt – gilded/gilt,Weak with coalescence of dentals and devoiced ending (or regular)
"gird – girded/*girt – girded/*girt

undergird – undergirded/*undergirt – undergirded/*undergirt

",Weak with coalescence of dentals and devoiced ending (or regular)
"give – gave – given

forgive – forgave – forgiven
misgive – misgave – misgiven
overgive – overgave – overgiven

","Strong, class 5"
"go – went – gone

*bego – bewent – begone
forego – forewent – foregone
forgo – forwent – forgone
*overgo – overwent – overgone
undergo – underwent – undergone
*withgo – withwent – withgone

",Suppletive. See article on the verb go.
*grave – grove/graved – graven/graved,"Strong, class 6. Past participle graven remains in use adjectivally, as in graven images in archaic language, e.g. from the 17th century. The verb engrave is regular."
grind – ground/grinded – ground/grinded/*grounden,"Strong, class 3"
"grow – grew/*growed – grown/*growed

outgrow – outgrew/*outgrowed – outgrown/*outgrowed
overgrow – overgrew/*overgrowed – overgrown/*overgrowed
regrow – regrew/*regrowed – regrown/*regrowed
undergrow – undergrew/*undergrowed – undergrown/*undergrowed
upgrow – upgrew/*upgrowed – upgrown/*upgrowed

","Strong, class 7"
"hang – hung/hanged – hung/hanged

overhang – overhung/overhanged – overhung/overhanged
underhang – underhung/underhanged – underhung/underhanged
uphang – uphung/uphanged – uphung/uphanged

","Strong, class 7. Regularized alternative hanged was influenced by OE causative hangian, and is used chiefly for hanging as a means of execution."
have (has) – had – had,"Weak; had results from contraction, from OE haefd. Third person present has also a result of contraction."
"hear – heard – heard

behear – beheard – beheard
forehear – foreheard – foreheard
mishear – misheard – misheard
outhear – outheard – outheard
overhear – overheard – overheard
rehear – reheard – reheard
unhear – unheard – unheard

","Weak, originally with vowel shortening (the modern pronunciation of heard in RP has the long vowel /ɜː/)"
"heave – heaved/*hove – heaved/*hove/*hoven

upheave – upheaved/*uphove – upheaved/*uphove/*uphoven

","Strong, class 6, now usually regular except in nautical uses"
help – helped/*holp – helped/*holpen,"Originally strong, class 6, but now weak."
"hew – hewed/*hew – hewed/hewn

*underhew – underhewed/*underhew – underhewed/underhewn

","Strong, class 7 (or regular)"
hide – hid – hidden/*hid,"Weak with vowel shortening and coalescence of dentals, influenced by strong verbs"
"hit – hit – hit

mishit – mishit – mishit
overhit – overhit – overhit
underhit – underhit – underhit

",Weak with coalescence of dentals
hoist – hoisted/hoist – hoisted/hoist,"Weak, hoist was originally the past form of the now archaic verb hoise"
"hold – held – held/*holden

behold – beheld – beheld/*beholden
inhold – inheld – inheld/*inholden
mishold – misheld – misheld/*misholden
uphold – upheld – upheld/*upholden
withhold – withheld – withheld/*withholden

","Strong, class 7"
hurt – hurt – hurt,Weak with coalescence of dentals
"keep – kept – kept

miskeep – miskept – miskept
overkeep – overkept – overkept
underkeep – underkept – underkept

",Weak with vowel shortening
"ken – kenned/kent – kenned/kent

beken – bekenned/bekent – bekenned/bekent
foreken – forekenned/forekent – forekenned/forekent
misken – miskenned/miskent – miskenned/miskent
outken – outkenned/outkent – outkenned/outkent

",Northern and Scottish dialect word. Weak with devoiced ending (or regular)
kneel – knelt/kneeled – knelt/kneeled,Weak with vowel shortening and devoiced ending (or regular)
"knit – knit/knitted – knit/knitted

beknit – beknit/beknitted – beknit/beknitted
hand-knit – hand-knit/hand-knitted – hand-knit/hand-knitted

",Weak with coalescence of dentals (or regular); related to knot
"know – knew – known/*knowen

*acknow – acknew – acknown/*acknowen
foreknow – foreknew – foreknown/*foreknowen
misknow – misknew – misknown/*misknowen

","Strong, class 7"
"lade – laded – laden/laded

overlade – overladed – overladen/overladed

","Strong, class 6, often regularized (past participle laden is common adjectivally)"
laugh – laughed/*laught/*laugh'd/*low – laughed/*laught/*laugh'd/*laughen,"Originally strong, now weak, regular, with alternative (archaic) spelling"
"lay – laid/*layed – laid/*layed

belay – belaid/*belayed – belaid/*belayed
*forelay – forelaid/*forelayed – forelaid/*forelayed
*forlay – forlaid/*forlayed – forlaid/*forlayed
inlay – inlaid/*inlayed – inlaid/*inlayed
interlay – interlaid/*interlayed – interlaid/*interlayed
mislay – mislaid/*mislayed – mislaid/*mislayed
onlay – onlaid/*onlayed – onlaid/*onlayed
outlay – outlaid/*outlayed – outlaid/*outlayed
overlay – overlaid/*overlayed – overlaid/*overlayed
re-lay – re-laid/*re-layed – re-laid/*re-layed
underlay – underlaid/*underlayed – underlaid/*underlayed
unlay – unlaid/*unlayed – unlaid/*unlayed
*uplay – uplaid/*uplayed – uplaid/*uplayed
waylay – waylaid/*waylayed – waylaid/*waylayed

","Weak, irregular in spelling only"
"lead – led – led

*belead – beled – beled
*forthlead – forthled – forthled
inlead – inled – inled
mislead – misled – misled
offlead – offled – offled
onlead – onled – onled
outlead – outled – outled
overlead – overled – overled
underlead – underled – underled
*uplead – upled – upled

",Weak with vowel shortening and coalescence of dentals
lean – leaned/leant – leaned/leant,Weak with vowel shortening and devoiced ending (or regular)
"leap – leaped/leapt/*lept/*lope – leaped/leapt/*lopen

beleap – beleaped/beleapt/*belept/*belope – beleaped/beleapt/*belopen
forthleap – forthleaped/forthleapt/*forthlept/*forthlope – forthleaped/forthleapt/*forthlopen
outleap – outleaped/outleapt/*outlept/*outlope – outleaped/outleapt/*outlopen
overleap – overleaped/overleapt/*overlept/*overlope – overleaped/overleapt/*overlopen

","Originally strong, class 7, now weak with vowel shortening (or regular)"
"learn – learned/learnt – learned/learnt

mislearn – mislearned/mislearnt – mislearned/mislearnt
overlearn – overlearned/overlearnt – overlearned/overlearnt
relearn – relearned/relearnt – relearned/relearnt
unlearn – unlearned/unlearnt – unlearned/unlearnt

",Weak with devoiced ending (or regular)
"leave – left – left/*laft

beleave – beleft – beleft/*belaft
*forleave – forleft – forleft/*forlaft
overleave – overleft – overleft/*overlaft

",Weak with vowel shortening and devoiced ending
"lend – lent – lent

*forlend – forlent – forlent

",Weak with coalescence of dentals and devoiced ending
"let – let/*leet – let/*letten

*forlet – forlet/*forleet – forlet/*forletten
sublet – sublet/*subleet – sublet/*subletten
*underlet – underlet/*underleet – underlet/*underletten

","Strong, class 7"
"lie – lay – lain

*forelie – forelay – forelain
*forlie – forlay – forlain
overlie – overlay – overlain
underlie – underlay – underlain

","Strong, class 5. Regular in the meaning ""tell an untruth""."
"light – lit/lighted – lit/lighted

alight – alit/alighted – alit/alighted
backlight – backlit/backlighted – backlit/backlighted
green-light – green-lit/green-lighted – green-lit/green-lighted
relight – relit/relighted – relit/relighted

",Weak with vowel shortening and coalescence of dentals (or regular)
lose – lost – lost,"Originally strong, class 2, now weak with vowel shortening and devoiced ending"
"make – made – made

remake – remade – remade
unmake – unmade – unmade

","Weak; made formed by contraction from ""maked"""
may – might – (none),"Preterite-present, defective. See English modal verbs"
mean – meant – meant,Weak with vowel shortening and devoiced ending
meet – met – met,Weak with vowel shortening and coalescence of dentals
melt – melted/*molt – melted/molten,"Strong, class 3. Now regularized, but molten survives in adjectival uses."
mix – mixed/*mixt – mixed/*mixt,"Weak, regular, with alternative (mostly archaic) spelling"
mow – mowed – mowed/mown,"Strong, class 7. Now regularized in past tense and sometimes in past participle."
must – (no other forms),Defective; originally a preterite. See English modal verbs
need (needs/need) – needed – needed,"Weak, regular except in the use of need in place of needs in some contexts, by analogy with can, must, etc.[3] See English modal verbs"
ought – (no other forms),Defective; originally a preterite. See English modal verbs
"pay – paid/*payed – paid/*payed

overpay – overpaid/*overpayed – overpaid/*overpayed
prepay – prepaid/*prepayed – prepaid/*prepayed
repay – repaid/*repayed – repaid/*repayed
underpay – underpaid/*underpayed – underpaid/*underpayed

","Weak, irregular in spelling only. The spelling payed is used in the meaning of letting out a rope etc."
pen – penned/pent – penned/pent,"Weak with devoiced ending, but usually regular; pent is sometimes used when the verb has the meaning ""to enclose"", and mainly adjectivally"
plead – pled/pleaded – pled/pleaded,"French loanword, weak with vowel shortening and coalescence of dentals. In North America, this verb is usually irregular."
"prove – proved – proved/proven

reprove – reproved – reproved/reproven

","French loanword, weak, with the alternative past participle proven by analogy with some strong verbs"
"put – put – put/*putten

input – input – input/*inputten
output – output – output/*outputten
*underput – *underput – *underput/*underputten

",Weak with coalescence of dentals. Past participle form putten is characteristic for Yorkshire and Lancashire dialects.
"*queath/*quethe – queathed/quethed/quoth/quod – queathed/quethed/quoth/quethen

bequeath – bequeathed/bequethed/bequoth/bequod – bequeathed/bequethed/bequoth/bequethen

","Strong, class 5. Past tense quoth is literary or archaic; other parts of that verb are obsolete. Bequeath is normally regularized in -ed."
quit – quit/quitted – quit/quitted,"French loanword, weak, with coalescence of dentals (or regular)"
reach – reached/*raught/*rought/*retcht – reached/*raught/*rought/*retcht,"Weak, now regular (archaic raught from original conjugation like teach)"
"read /riːd/ – read /rɛd/ – read /rɛd/ / *readen

*foreread – foreread – foreread/*forereaden
lipread – lipread – lipread/*lipreaden
misread – misread – misread/*misreaden
proofread – proofread – proofread/*proofreaden
reread – reread – reread/*rereaden
sight-read – sight-read – sight-read/*sight-readen

",Weak with vowel shortening and coalescence of dentals
"*reave – reaved/reft – reaved/reft

bereave – bereaved/bereft – bereaved/bereft

","Weak with vowel shortening and devoiced ending. The verb bereave is usually regular, but bereft survives as past participle, with distinct meanings."
rend – rent – rent,Weak with coalescence of dentals
rid – rid/ridded – rid/ridden/ridded,"Weak with coalescence of dentals, or regular; ridden by analogy with strong verbs."
"ride – rode/*rid – ridden/*rid

outride – outrode/*outrid – outridden/*outrid
override – overrode/*overrid – overridden/*overrid

","Strong, class 1"
ring – rang/*rung – rung,"By analogy with strong, class 3. Regular when meaning ""surround"", etc."
"rise – rose – risen

arise – arose – arisen
uprise – uprose – uprisen

","Strong, class 1"
rive – rived/rove – rived/riven,"From Old Norse, originally followed pattern of strong class 1, later regularized.[4] Now rarely used."
"run – ran – run

*forerun – foreran – forerun
outrun – outran – outrun
overrun – overran – overrun
rerun – reran – rerun
underrun – underran – underrun

","Strong, class 3"
saw – sawed – sawed/sawn,Weak; sawn by analogy with strong verbs[5]
"say (says /sɛz/) – said – said

*forsay – forsaid – forsaid
*gainsay – gainsaid – gainsaid
missay – missaid – missaid
*naysay – naysaid – naysaid
soothsay – soothsaid – soothsaid
*withsay – withsaid – withsaid

","Weak, with vowel shortening in said /sɛd/ and in the third person present says /sɛz/"
"see – saw – seen

*besee – besaw – beseen
foresee – foresaw – foreseen
missee – missaw – misseen
oversee – oversaw – overseen
sightsee – sightsaw – sightseen
undersee – undersaw – underseen

","Strong, class 5"
"seek – sought – sought

beseek – besought – besought

",Weak with Rückumlaut and Germanic spirant law
seethe – seethed/*sod – seethed/*sodden,"Strong, class 2. Now regular, but sodden survives in some adjectival uses."
"sell – sold – sold

outsell – outsold – outsold
oversell – oversold – oversold
resell – resold – resold
undersell – undersold – undersold
upsell – upsold – upsold

",Weak with Rückumlaut
"send – sent – sent

missend – missent – missent
resend – resent – resent

",Weak with coalescence of dentals
"set – set – set/*setten

beset – beset – beset/*besetten
handset – handset – handset/*handsetten
inset – inset – inset/*insetten
misset – misset – misset/*missetten
offset – offset – offset/*offsetten
overset – overset – overset/*oversetten
preset – preset – preset/*presetten
reset – reset – reset/*resetten
upset – upset – upset/*upsetten
*withset – withset – withset/*withsetten

",Weak with coalescence of dentals
"sew – sewed – sewn/sewed/*sewen

handsew – handsewed – handsewn/handsewed/*handsewen
oversew – oversewed – oversewn/oversewed/*oversewen

",Weak; sewn by analogy with strong verbs
"shake – shook – shaken

overshake – overshook – overshaken

","Strong, class 6"
shall – should – (none),"Preterite-present; defective. See English modal verbs, and shall and will"
"shape – shaped/*shope – shaped/*shapen

*forshape – forshaped/*forshope – forshaped/*forshapen
misshape – misshaped/*misshope – misshaped/*misshapen

","Originally strong, class 6, now regular, but with misshapen (and archaically shapen) still used adjectivally"
shave – shaved/*shove – shaved/shaven,"Strong, class 6, now regular, but shaven sometimes used adjectivally"
shear – sheared/shore – shorn/sheared,"Strong, class 4 (or regular)"
shed – shed – shed,"Strong, class 7"
"shine – shone/shined – shone/shined

*beshine – beshone/beshined – beshone/beshined
outshine – beshone/beshined – beshone/beshined
overshine – beshone/beshined – beshone/beshined

","Strong, class 1"
"shit – shit/shitted/shat – shit/shitted/shat/*shitten

shite – shited/shit – shited/shit

","Strong, class 1. The form shite is chiefly Scottish and Irish."
"shoe – shod/shoed – shodden/shod/shoed

reshoe – reshod/reshoed – reshodden/reshod/reshoed

",Weak with vowel shortening (or regular); shodden by analogy with strong verbs
"shoot – shot – shot/*shotten

misshoot – misshot – misshot/*misshotten
overshoot – overshot – overshot/*overshotten
reshoot – reshot – reshot/*reshotten
undershoot – undershot – undershot/*undershotten

","Strong, class 2"
"show – showed/*shew – shown/showed/*shewed

foreshow – foreshowed/*foreshew – foreshown/foreshowed/*foreshewed
reshow – reshowed/*reshew – reshown/reshowed/*reshewed

","Weak, with participle shown perhaps by analogy with sown (from sow)"
"shrink – shrank/shrunk – shrunk/shrunken

overshrink – overshrank/overshrunk – overshrunk/overshrunken

","Strong, class 3; shrunken is mostly used adjectivally"
*shrive – shrived/*shrove – shrived/*shriven,"Strong, class 1"
"shut – shut – shut

reshut – reshut – reshut

",Weak with coalescence of dentals
"sing – sang – sung/*sungen

resing – resang – resung/*resungen

","Strong, class 3"
sink – sank/sunk – sunk/sunken,"Strong, class 3. The form sunken appears in some adjectival uses."
"sit – sat/*sate – sat/*sitten

babysit – babysat/*babysate – babysat/*babysitten
housesit – housesat/*housesate – housesat/*housesitten
resit – resat/*resate – resat/*resitten
*withsit – withsat/*withsate – withsat/*withsitten

","Strong, class 5"
slay – slew/slayed – slain/slayed,"Strong, class 6 (or regular)"
"sleep – slept – slept

oversleep – overslept – overslept
undersleep – underslept – underslept

","Originally strong, class 7, now weak with vowel shortening"
"slide – slid – slid/slidden

backslide – backslid – backslid/backslidden
overslide – overslid – overslid/overslidden

","Strong, class 1"
sling – slung/*slang – slung,"Strong, class 3"
slink – slunk/slinked/slank – slunk/slinked/slank,"Strong, class 3"
"slip – slipped/*slipt – slipped/*slipt

*overslip – *overslipped/*overslipt – *overslipped/*overslipt

","Regular, with alternative (archaic) spelling"
slit – slit – slit/slitten,"Strong, class 1"
smell – smelled/smelt – smelled/smelt,Weak with devoiced ending (or regular)
smite – smote/*smit – smitten/smitted,"Strong, class 1. Largely archaic; smitten is quite commonly used adjectivally."
sneak – sneaked/snuck – sneaked/snuck/*snucked,"Weak, alternative form snuck (chiefly American) by analogy with strong verbs"
sow – sowed/*sew – sown/sowed,"Strong, class 7, with regularized past tense sowed"
"speak – spoke/*spake – spoken/*spoke

bespeak – bespoke/*bespake – bespoken/*bespoke
*forespeak – forespoke/*forespake – forespoken/*forespoke
*forspeak – forspoke/*forspake – forspoken/*forspoke
misspeak – misspoke/*misspake – misspoken/*misspoke

","Strong, class 5"
speed – sped/speeded – sped/speeded,Weak with vowel shortening and coalescence of dentals (or regular)
"spell – spelled/spelt – spelled/spelt

misspell – misspelled/misspelt – misspelled/misspelt

",Weak with devoiced ending (or regular)
"spend – spent – spent

*forspend – *forspent – *forspent
misspend – misspent – misspent
outspend – outspent – outspent
overspend – overspent – overspent

",Weak with coalescence of dentals
"spill – spilled/spilt – spilled/spilt

overspill – overspilled/overspilt – overspilled/overspilt

",Weak with devoiced ending (or regular)
"spin – spun/*span – spun

outspin – outspun/*outspan – outspun

","Strong, class 3"
spit – spat/spit – spat/spit,"Weak with coalescence of dentals (for past form spit, which is common in America), or spat by analogy with strong verbs. (In the meaning of roast on a spit, the verb is regular.)"
split – split – split,Weak with coalescence of dentals
spoil – spoiled/spoilt – spoiled/spoilt,Weak with devoiced ending (or regular)
"spread – spread/*spreaded – spread/*spreaded

*bespread – bespread/*bespreaded – bespread/*bespreaded
*forspread – forspread – forspread
outspread – outspread – outspread
overspread – overspread – overspread
underspread – underspread – underspread

",Weak with coalescence of dentals
"sprenge – sprent – sprent

*besprenge – besprent – besprent

",""
"spring – sprang/sprung – sprung/*sprang

handspring – handsprang/handsprung – handsprung/*handsprang

","Strong, class 3"
"stand – stood – stood/*standen

forstand – forstood – forstood/*forstanden
misunderstand – misunderstood – misunderstood/*misunderstanden
overstand – overstood – overstood/*overstanden
understand – understood – understood/*understanden
upstand – upstood – upstood/*upstanden
withstand – withstood – withstood/*withstanden

","Strong, class 6"
starve – starved/*starf/*storve – starved/*storven,"Strong, class 3"
stave – stove/staved – stove/staved/*stoven,Originally weak; irregular forms developed by analogy with strong verbs.[6]
stay – stayed/*staid – stayed/*staid,"Regular, with alternative spelling staid (now limited to certain adjectival uses)"
steal – stole – stolen,"Strong, class 4"
stick – stuck/*sticked – stuck/*sticked,"Originally weak, irregular forms by analogy with strong verbs"
sting – stung/*stang – stung,"Strong, class 3"
stink – stank/stunk – stunk,"Strong, class 3"
stretch – stretched/*straught/*straight – stretched/*straught/*straight,"Weak, now regular; obsolete past form straught as with teach–taught"
"strew – strewed – strewn/strewed

bestrew – bestrewed – bestrewn/bestrewed
overstrew – overstrewed – overstrewn/overstrewed

","Originally weak, irregular forms by analogy with strong verbs"
"stride – strode/*strided – stridden/*strode/*strid/*stridded

bestride – bestrode/*bestrided – bestridden/*bestrode/*bestrid/*bestridded
outstride – outstrode/*outstrided – outstridden/*outstrode/*outstrid/*outstridded
overstride – overstrode/*overstrided – overstridden/*overstrode/*overstrid/*overstridded

","Strong, class 1"
"strike – struck – struck/stricken

overstrike – overstruck – overstruck/overstricken

","Strong, class 1. The form stricken is limited to certain adjectival and specialist uses."
"string – strung/*stringed – strung/*stringed

hamstring – hamstrung/*hamstringed – hamstrung/*hamstringed
overstring – overstrung/*overstringed – overstrung/*overstringed

","Originally weak, irregular forms developed by analogy with strong verbs"
strip – stripped/stript – stripped/stript,""
"strive – strove/strived – striven/strived

outstrive – outstrove – outstriven
overstrive – overstrove – overstriven

","Strong, class 1 (or regularized)"
"swear – swore – sworn

forswear – forswore – forsworn
outswear – outswore – outsworn

","Strong, class 6"
sweat – sweated/sweat – sweated/sweat,"Weak, usually regular, possible past form sweat with coalescence of dentals"
"sweep – swept/*sweeped – swept/*sweeped

upsweep – upswept/*upsweeped – upswept/*upsweeped

",Weak with vowel shortening
"swell – swelled/*swole/*swelt – swollen/swelled

upswell – upswelled/*upswole/*upswelt – upswollen/upswelled

","Strong, class 3, with regularized forms"
*swelt – swelted/*swolt – swelted/*swolten,"Strong, class 3 (or regularized). Archaic"
"swim – swam/*swum – swum

outswim – outswam/*outswum – outswum

","Strong, class 3"
"swing – swang/swung – swung/*swungen

overswing – overswang/overswung – overswung/*overswungen

","Strong, class 3"
"*swink – swank/swonk/*swinkt/swinked – swunk/swunken/swonken/*swinkt/swinked

*forswink – forswank/forswonk – forswunk/forswunken
*toswink – toswank – toswunk/toswunken

","Strong, class 3"
